TÍTULO DA TABELA,TÍTULO DA NOTA,LINK,DATA DE PUBLICAÇÃO,HORÁRIO DE PUBLICAÇÃO,DATA DE ATUALIZAÇÃO,HORÁRIO DE ATUALIZAÇÃO,ANO,MÊS,NÚMERO DA NOTA,CATEGORIA
Notas à Imprensa - Itamaraty,Dia Internacional da Síndrome de Down,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/dia-internacional-da-sindrome-de-down,21/03/2016,20h05,22/03/2016,18h20,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Calendário de eventos entre 20 e 26 de março de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/calendario-de-eventos-20-26-de-marzo-de-2024,18/03/2016,19h30,21/03/2016,14h55,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil na República de Cabo Verde",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-na-republica-de-cabo-verde,18/03/2016,15h14,20/04/2016,22h36,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Fim do último surto de Ebola em Serra Leoa,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/fim-do-ultimo-surto-de-ebola-em-serra-leoa,17/03/2016,23h06,29/03/2016,21h32,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentado na Nigéria,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentadonigeriamarco2016,17/03/2016,21h19,17/03/2016,22h48,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Acidente aéreo no Equador,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acidente-aereo-no-equador,16/03/2016,21h48,22/03/2016,20h32,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Criação do Grupo de Amigos do Brasil para a Paz na Colômbia – 15 de março de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/grupoamigosbrasilpazcolombia,15/03/2016,21h45,16/08/2017,21h08,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Eleição em Myanmar,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/eleicaomyanmarmarco2016,15/03/2016,18h57,22/03/2016,21h06,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Visita do Ministro das Relações Exteriores a Lisboa e participação em reunião ministerial da CPLP – 16 e 17 de março de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-lisboa-e-participacao-em-reuniao-ministerial-da-cplp-16-e-17-de-marco-de-2016,14/03/2016,22h33,17/03/2016,21h49,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Reinício das conversações de paz intra-sírias,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reinicio-das-conversacoes-de-paz-intra-sirias,14/03/2016,22h17,22/03/2016,21h18,2016,Março,N/A,Sem categoria
